%y (m)	t (s)
0.10	0.000
0.11	0.020
0.11	0.040
0.11	0.060
0.12	0.080
0.12	0.100
0.12	0.120
0.11	0.140
0.11	0.160
0.10	0.180
0.10	0.200
0.09	0.220
0.08	0.240
0.07	0.260
0.06	0.280
0.05	0.300
0.04	0.320
0.02	0.340
0.01	0.360
0.00	0.380
-0.02	0.400
-0.03	0.420
-0.04	0.440
-0.06	0.460
-0.07	0.480
-0.08	0.500
-0.09	0.520
-0.10	0.540
-0.10	0.560
-0.11	0.580
-0.11	0.600
-0.12	0.620
-0.12	0.640
-0.12	0.660
-0.12	0.680
-0.11	0.700
-0.11	0.720
-0.11	0.740
-0.10	0.760
-0.09	0.780
-0.08	0.800
-0.07	0.820
-0.06	0.840
-0.05	0.860
-0.04	0.880
-0.02	0.900
-0.01	0.920
0.00	0.940
0.02	0.960
0.03	0.980
0.04	1.000
0.05	1.020
0.06	1.040
0.08	1.060
0.08	1.080
0.09	1.100
0.10	1.120
0.11	1.140
0.11	1.160
0.11	1.180
0.12	1.200
0.12	1.220
0.11	1.240
0.11	1.260
0.11	1.280
0.10	1.300
0.10	1.320
0.09	1.340
0.08	1.360
0.07	1.380
0.06	1.400
0.05	1.420
0.03	1.440
0.02	1.460
0.01	1.480
0.00	1.500
-0.02	1.520
-0.03	1.540
-0.04	1.560
-0.06	1.580
-0.07	1.600
-0.08	1.620
-0.09	1.640
-0.10	1.660
-0.10	1.680
-0.11	1.700
-0.11	1.720
-0.12	1.740
-0.12	1.760
-0.12	1.780
-0.12	1.800
-0.11	1.820
-0.11	1.840
-0.10	1.860
-0.10	1.880
-0.09	1.900
-0.08	1.920
-0.07	1.940
-0.06	1.960
-0.05	1.980
-0.03	2.000
-0.02	2.020
-0.01	2.040
0.01	2.060
0.02	2.080
0.03	2.100
0.04	2.120
0.05	2.140
0.06	2.160
0.08	2.180
0.08	2.200
0.09	2.220
0.10	2.240
0.11	2.260
0.11	2.280
0.11	2.300
0.11	2.320
0.11	2.340
0.11	2.360
0.11	2.380
0.11	2.400
0.10	2.420
0.09	2.440
0.09	2.460
0.08	2.480
0.07	2.500
0.05	2.520
0.04	2.540
0.03	2.560
0.02	2.580
0.01	2.600
-0.01	2.620
-0.02	2.640
-0.03	2.660
-0.05	2.680
-0.06	2.700
-0.07	2.720
-0.08	2.740
-0.09	2.760
-0.10	2.780
-0.10	2.800
-0.11	2.820
-0.11	2.840
-0.12	2.860
-0.12	2.880
-0.12	2.900
-0.12	2.920
-0.11	2.940
-0.11	2.960
-0.10	2.980
-0.10	3.000
-0.09	3.020
-0.08	3.040
-0.07	3.060
-0.06	3.080
-0.05	3.100
-0.03	3.120
-0.02	3.140
-0.01	3.160
0.01	3.180
0.02	3.200
0.03	3.220
0.04	3.240
0.05	3.260
0.07	3.280
0.08	3.300
0.09	3.320
0.09	3.340
0.10	3.360
0.11	3.380
0.11	3.400
0.11	3.420
0.11	3.440
0.11	3.460
0.11	3.480
0.11	3.500
0.11	3.520
0.10	3.540
0.09	3.560
0.08	3.580
0.08	3.600
0.06	3.620
0.05	3.640
0.04	3.660
0.03	3.680
0.02	3.700
0.01	3.720
-0.01	3.740
-0.02	3.760
-0.03	3.780
-0.05	3.800
-0.06	3.820
-0.07	3.840
-0.08	3.860
-0.09	3.880
-0.10	3.900
-0.10	3.920
-0.11	3.940
-0.11	3.960
-0.11	3.980
-0.12	4.000
-0.12	4.020
-0.11	4.040
-0.11	4.060
-0.11	4.080
-0.10	4.100
-0.09	4.120
-0.09	4.140
-0.08	4.160
-0.07	4.180
-0.06	4.200
-0.04	4.220
-0.03	4.240
-0.02	4.260
0.00	4.280
0.01	4.300
0.02	4.320
0.03	4.340
0.04	4.360
0.05	4.380
0.07	4.400
0.08	4.420
0.09	4.440
0.09	4.460
0.10	4.480
0.10	4.500
0.11	4.520
0.11	4.540
0.11	4.560
0.11	4.580
0.11	4.600
0.11	4.620
0.10	4.640
0.10	4.660
0.09	4.680
0.08	4.700
0.07	4.720
0.06	4.740
0.05	4.760
0.04	4.780
0.03	4.800
0.02	4.820
0.00	4.840
-0.01	4.860
-0.02	4.880
-0.03	4.900
-0.05	4.920
-0.06	4.940
-0.07	4.960
-0.08	4.980
-0.09	5.000
-0.10	5.020
-0.10	5.040
-0.11	5.060
-0.11	5.080
-0.11	5.100
-0.11	5.120
-0.11	5.140
-0.11	5.160
-0.11	5.180
-0.11	5.200
-0.10	5.220
-0.09	5.240
-0.08	5.260
-0.08	5.280
-0.07	5.300
-0.05	5.320
-0.04	5.340
-0.03	5.360
-0.02	5.380
0.00	5.400
0.01	5.420
0.02	5.440
0.03	5.460
0.05	5.480
0.05	5.500
0.07	5.520
0.08	5.540
0.09	5.560
0.09	5.580
0.10	5.600
0.10	5.620
0.11	5.640
0.11	5.660
0.11	5.680
0.11	5.700
